EmployeeID,Gender,Age,MonthlyIncome,JobSatisfaction,YearsAtCompany,Attrition
61,Male,39,38969,5,9,No
62,Female,50,29508,2,12,Yes
63,Male,36,79640,5,10,Yes
64,Male,43,78549,5,10,Yes
65,Male,50,33800,3,4,No
66,Male,30,43465,5,7,Yes
67,Female,28,70055,3,17,No
68,Female,50,84517,1,3,No
69,Female,48,43132,1,1,Yes
70,Male,42,89212,3,6,Yes
71,Female,39,71246,4,18,No
72,Male,24,86934,2,18,Yes
73,Female,40,61210,2,14,Yes
74,Male,31,48897,1,12,Yes
75,Male,43,31736,3,18,No
76,Male,29,81662,2,6,Yes
77,Male,27,73271,3,14,Yes
78,Male,30,35433,1,13,Yes
79,Female,29,38079,4,12,No
80,Male,29,26550,2,13,Yes
81,Female,49,29549,3,12,Yes
82,Female,43,89300,5,11,No
83,Male,50,88596,3,6,Yes
84,Female,23,32104,5,14,No
85,Female,35,64728,5,4,No
86,Male,30,27908,4,1,No
87,Male,33,53265,1,11,No
88,Female,43,80575,1,10,No
89,Female,43,51764,3,13,Yes
90,Female,39,33341,2,14,No
91,Female,43,74029,2,20,No
92,Female,34,60909,1,10,Yes
93,Male,35,76495,5,20,Yes
94,Female,36,53952,4,7,Yes
95,Female,47,84059,2,3,Yes
96,Female,24,78636,2,10,Yes
97,Male,26,26600,1,8,Yes
98,Male,36,52160,5,7,Yes
99,Female,37,51191,2,5,No
100,Male,50,74215,1,14,Yes
101,Male,47,87781,5,15,No
102,Male,49,32953,4,5,No
103,Female,46,83420,4,20,Yes
104,Female,48,84431,5,15,No
105,Female,36,41986,2,9,No
106,Female,42,40679,3,15,No
107,Female,29,42807,3,11,Yes
108,Male,26,34884,2,13,No
109,Male,44,39021,1,14,Yes
110,Female,39,55534,4,2,Yes
111,Female,34,84299,5,1,No
112,Female,37,25386,3,10,No
113,Female,39,73989,5,20,No
114,Female,29,42887,4,16,No
115,Female,32,68835,4,6,No
116,Male,41,60004,1,13,No
117,Male,24,67123,4,5,No
118,Male,23,42049,4,11,No
119,Female,32,47118,4,9,No
120,Female,48,30367,4,1,No
121,Male,33,39694,1,2,Yes
122,Male,28,79999,1,20,Yes
123,Male,26,56035,1,19,Yes
124,Female,44,41793,3,6,Yes
125,Male,46,78693,2,10,Yes
126,Male,31,62735,4,13,Yes
127,Male,24,63803,2,4,No
128,Female,49,69843,5,4,Yes
129,Male,33,59913,4,12,No
130,Female,22,80677,4,16,No
131,Female,33,66653,4,5,No
132,Male,45,59193,3,20,Yes
133,Female,36,53545,5,9,No
134,Male,48,86251,1,9,Yes
135,Male,46,55455,5,20,Yes
136,Female,32,26880,4,11,No
137,Female,28,48253,3,11,No
138,Female,39,25665,5,7,No
139,Male,45,51635,4,18,No
140,Female,42,71651,4,15,No
141,Male,31,39522,4,8,No
142,Female,37,61272,5,12,No
143,Female,33,71062,4,9,No
144,Female,29,32907,2,11,Yes
145,Male,28,39180,4,9,Yes
146,Female,25,79567,2,10,Yes
147,Female,27,44809,1,18,Yes
148,Female,23,88851,1,18,Yes
149,Male,42,81915,4,4,No
150,Female,37,56373,4,11,No
151,Male,30,86673,4,4,No
152,Female,37,29855,5,2,Yes
153,Male,47,61886,3,3,No
154,Male,39,75098,4,20,Yes
155,Male,46,59247,4,15,No
156,Female,49,63569,4,10,Yes
157,Male,41,87921,1,7,No
158,Male,30,68281,1,6,Yes
159,Male,39,29919,2,1,Yes
160,Female,44,63916,4,10,No
161,Male,31,71331,3,15,No
162,Male,30,76631,5,7,No
163,Male,39,39733,2,9,Yes
164,Male,23,35873,3,20,Yes
165,Female,36,33149,4,10,Yes
166,Female,30,57798,5,16,No
167,Male,41,27612,4,11,Yes
168,Female,22,30985,2,19,No
169,Male,46,69058,3,19,No
170,Male,37,59010,4,9,No
171,Female,42,78362,4,3,No
172,Female,35,46843,3,4,No
173,Female,35,70460,4,10,Yes
174,Female,48,74840,5,2,Yes
175,Male,32,41541,3,4,No
176,Male,43,81974,5,15,No
177,Male,28,58976,3,20,No
178,Female,46,28382,2,9,No
179,Male,31,53712,4,4,No
180,Male,44,35379,3,18,No
181,Female,24,39725,1,15,Yes
182,Male,37,86122,3,17,Yes
183,Female,35,79704,4,16,No
184,Female,39,34479,4,7,Yes
185,Male,49,29575,3,14,No
186,Female,48,25168,3,10,Yes
187,Female,49,34738,4,18,No
188,Female,32,61170,5,13,No
189,Female,49,37363,2,19,Yes
190,Male,49,75826,4,2,Yes
191,Female,44,84862,4,13,Yes
192,Male,37,88230,1,5,No
193,Female,49,31577,4,4,Yes
194,Female,22,72346,2,14,No
195,Male,24,55768,3,11,Yes
196,Female,42,30263,3,18,No
197,Female,42,72101,4,18,No
198,Male,29,66363,3,8,Yes
199,Male,35,89116,1,4,Yes
200,Male,44,44625,1,2,Yes
201,Male,31,48492,3,14,No
202,Male,38,52004,5,6,No
203,Male,24,64943,4,20,Yes
204,Male,37,84823,5,5,No
205,Female,42,41644,4,9,Yes
206,Male,50,77732,4,10,Yes
207,Male,24,53949,3,19,No
208,Female,44,41390,4,10,No
209,Female,49,56667,1,8,Yes
210,Female,40,44390,3,1,No
211,Female,30,25530,5,2,No
212,Female,48,84254,3,8,Yes
213,Female,29,66721,2,20,Yes
214,Male,42,31367,1,10,Yes
215,Male,40,48911,2,3,Yes
216,Female,45,52230,2,7,Yes
217,Female,38,57885,3,6,No
218,Female,47,44342,3,4,No
219,Male,26,74424,2,13,No
220,Female,24,76818,4,1,Yes
221,Male,36,49155,3,19,No
222,Female,25,69226,2,16,Yes
223,Female,41,39507,1,15,No
224,Female,42,51758,1,5,Yes
225,Male,31,57284,1,4,Yes
226,Male,34,54729,3,18,No
227,Male,50,52189,1,16,No
228,Female,30,27144,3,7,No
229,Female,29,81062,3,4,Yes
230,Female,39,84093,3,2,Yes
231,Female,28,88452,1,15,Yes
232,Male,42,66909,5,1,Yes
233,Female,29,89803,2,19,Yes
234,Male,48,75145,5,7,Yes
235,Male,48,81996,2,11,Yes
236,Male,30,81256,2,5,No
237,Female,47,36435,1,1,Yes
238,Male,33,76772,2,19,Yes
239,Male,27,42391,1,5,No
240,Female,38,32448,1,16,Yes
241,Female,38,63906,1,15,No
242,Male,41,27841,5,10,No
243,Male,23,56390,4,14,Yes
244,Male,37,71687,4,3,No
245,Female,41,34721,1,5,Yes
246,Female,34,64150,5,10,No
247,Female,25,76976,1,18,No
248,Male,35,54593,2,14,Yes
249,Female,34,52262,1,11,Yes
250,Female,43,41704,3,5,Yes
251,Female,24,30978,1,3,Yes
252,Male,45,73417,3,5,Yes
253,Male,40,87693,5,18,No
254,Male,35,48173,4,2,Yes
255,Female,33,31789,5,17,No
256,Male,43,56600,2,4,Yes
257,Female,25,74978,3,19,No
258,Female,49,61763,5,20,Yes
259,Male,41,85888,3,1,Yes
260,Female,44,74965,3,11,No
261,Male,27,82007,2,19,No
262,Female,24,34297,1,3,No
263,Male,34,52514,4,11,No
264,Female,31,72290,3,19,Yes
265,Male,50,28447,2,6,No
266,Male,43,30346,3,15,Yes
267,Female,37,64785,4,14,No
268,Male,46,58577,1,12,Yes
269,Male,31,69447,5,16,Yes
270,Female,23,39451,4,20,No
271,Male,28,44753,2,5,Yes
272,Female,32,32863,1,16,No
273,Female,27,33466,4,18,Yes
274,Male,38,61616,3,3,No
275,Male,35,26228,4,3,No
276,Female,40,51504,4,10,No
277,Female,22,88320,3,6,Yes
278,Female,48,70194,3,3,No
279,Male,29,53552,5,13,Yes
280,Male,34,82050,3,11,No
281,Female,46,36018,1,17,No
282,Male,38,58420,2,12,Yes
283,Male,29,31737,2,9,Yes
284,Male,41,35018,1,6,No
285,Female,36,74443,5,19,No
286,Female,49,88633,3,5,No
287,Male,37,53980,3,9,Yes
288,Male,33,58248,1,10,Yes
289,Female,23,28728,3,10,No
290,Male,41,63933,5,13,No
291,Male,36,84575,5,7,No
292,Female,38,34886,1,15,Yes
293,Female,44,30526,5,6,No
294,Male,44,53688,4,17,Yes
295,Male,33,49435,3,13,No
296,Female,43,64183,1,11,Yes
297,Female,25,61566,4,10,No
298,Male,32,30341,5,5,No
299,Female,42,70775,4,5,Yes
300,Male,31,61629,4,11,No
301,Male,42,68939,4,17,No
302,Male,33,45241,2,7,Yes
303,Female,28,39846,2,5,Yes
304,Female,49,76650,1,17,No
305,Male,43,47070,5,5,Yes
306,Female,26,35633,2,20,Yes
307,Female,23,51926,3,8,No
308,Female,46,74056,4,8,Yes
309,Male,31,88281,4,7,No
310,Female,36,75425,3,13,Yes
311,Female,27,78535,2,20,Yes
312,Female,23,67020,4,12,Yes
313,Male,44,80436,5,4,No
314,Male,46,35506,3,15,Yes
315,Male,48,53670,1,8,Yes
316,Female,22,52190,1,13,No
317,Female,29,50307,1,12,Yes
318,Male,32,86002,1,11,Yes
319,Male,23,43800,4,5,Yes
320,Female,36,65327,1,3,Yes
321,Female,28,79720,2,18,No
322,Female,25,75867,3,8,No
323,Male,23,40626,4,20,No
324,Male,25,79833,4,20,Yes
325,Male,42,58775,5,8,Yes
326,Male,31,53130,1,20,Yes
327,Male,40,52300,2,3,No
328,Female,24,87482,5,18,Yes
329,Male,34,82234,4,2,No
330,Female,33,41623,1,12,Yes
331,Female,29,73034,1,19,No
332,Female,26,27905,3,18,No
333,Male,48,76061,4,16,Yes
334,Male,47,33837,1,15,Yes
335,Female,28,27870,2,2,Yes
336,Female,38,51098,5,16,No
337,Male,46,67395,2,10,Yes
338,Male,49,67974,3,9,No
339,Female,35,83293,4,15,No
340,Female,27,57519,4,12,Yes
341,Female,47,30414,4,3,No
342,Male,39,44252,3,4,No
343,Female,43,44375,3,15,Yes
344,Female,27,70204,4,12,No
345,Male,45,82018,3,20,No
346,Female,42,89227,1,3,No
347,Female,33,58625,2,1,Yes
348,Female,23,33272,1,8,No
349,Female,33,50090,5,2,No
350,Male,43,54486,3,12,No
351,Male,40,34023,5,12,No
352,Female,42,43264,2,4,Yes
353,Male,37,58930,4,18,No
354,Female,46,42058,4,7,Yes
355,Female,44,85062,4,7,No
356,Male,49,29853,4,6,Yes
357,Female,24,78117,3,12,Yes
358,Male,39,60531,3,10,No
359,Male,47,48690,5,8,No
360,Male,47,34101,2,16,Yes
361,Female,39,62504,3,15,Yes
362,Male,41,82949,1,3,Yes
363,Female,44,72111,4,17,No
364,Female,48,62676,1,5,Yes
365,Male,36,55528,5,12,No
366,Male,46,88325,2,14,No
367,Male,48,33137,5,5,No
368,Male,27,46145,2,12,No
369,Female,49,30168,3,7,Yes
370,Female,26,65961,3,20,Yes
371,Male,38,67007,2,19,No
372,Male,27,68170,5,20,No
373,Male,48,81608,1,3,Yes
374,Female,42,38815,5,14,Yes
375,Male,37,83261,5,10,Yes
376,Female,37,41048,4,10,No
377,Male,44,28926,2,15,Yes
378,Female,36,38370,3,20,No
379,Female,49,72078,3,12,No
380,Male,46,49283,5,18,No
381,Female,29,55570,1,9,Yes
382,Male,26,31344,1,10,Yes
383,Female,29,88090,2,11,No
384,Female,28,75011,2,16,No
385,Female,37,82611,3,16,No
386,Male,34,58124,4,8,No
387,Female,23,28312,3,16,Yes
388,Female,31,60172,1,4,Yes
389,Male,50,42332,3,13,No
390,Male,34,28352,5,18,No
391,Female,39,43913,1,13,No
392,Female,46,61035,3,20,Yes
393,Male,26,88903,1,13,Yes
394,Female,39,86534,3,5,No
395,Female,38,27638,1,2,Yes
396,Female,47,56047,5,15,No
397,Male,32,86038,5,11,No
398,Female,41,73452,3,19,No
399,Female,44,61891,3,16,No
400,Female,32,69158,1,14,No
401,Female,47,83901,1,20,Yes
402,Female,42,76308,5,19,No
403,Male,40,56486,2,17,No
404,Female,26,78848,2,2,No
405,Male,28,26241,4,11,No
406,Male,35,70252,2,14,No
407,Female,49,80599,1,5,No
408,Male,39,46302,4,17,No
409,Female,27,55124,5,11,Yes
410,Female,43,75593,3,20,No
411,Male,29,43284,5,10,No
412,Female,46,43940,2,16,Yes
413,Female,33,61732,3,10,No
414,Female,50,89235,4,12,No
415,Female,23,43850,1,12,Yes
416,Female,45,56396,2,7,No
417,Female,39,70624,3,5,No
418,Male,29,28326,5,8,Yes
419,Male,23,31566,4,11,Yes
420,Female,25,69642,2,1,No
421,Male,35,67787,4,16,Yes
422,Male,46,88171,3,11,No
423,Male,46,30862,5,8,Yes
424,Male,27,52386,2,2,Yes
425,Female,27,86381,3,2,Yes
426,Female,40,64503,1,11,Yes
427,Female,42,60605,5,16,No
428,Female,30,37636,1,11,Yes
429,Female,42,41860,2,1,No
430,Female,47,44334,5,7,No
431,Female,48,53029,5,11,No
432,Female,43,31251,2,5,Yes
433,Female,29,25447,3,13,No
434,Female,46,42497,3,10,Yes
435,Male,30,67839,3,8,No
436,Male,36,45106,2,13,No
437,Female,44,32694,3,12,Yes
438,Male,29,87741,2,16,Yes
439,Female,45,89804,5,12,No
440,Female,46,60226,2,8,No
441,Male,38,54278,5,12,No
442,Male,23,79314,5,17,No
443,Male,27,46503,5,15,No
444,Male,44,63217,4,3,Yes
445,Female,47,28646,4,5,Yes
446,Female,36,61956,1,18,Yes
447,Female,45,26426,4,9,No
448,Male,40,29786,1,14,Yes
449,Male,39,28948,1,16,Yes
450,Female,35,36795,2,14,Yes
451,Female,36,81991,4,13,No
452,Male,42,81379,3,4,No
453,Female,38,33345,2,1,Yes
454,Female,36,69138,5,14,Yes
455,Female,48,40051,2,15,Yes
456,Male,30,37352,1,2,No
457,Female,41,75204,1,8,Yes
458,Male,25,63924,1,15,No
459,Male,29,73532,1,13,Yes
460,Male,39,39238,1,5,No
461,Female,29,78463,5,11,Yes
462,Female,29,44776,2,17,Yes
463,Female,31,43032,1,18,No
464,Male,42,69482,4,18,No
465,Male,33,86707,4,17,No
466,Female,35,34779,3,13,No
467,Female,29,80662,2,10,No
468,Male,47,55344,1,18,Yes
469,Female,39,59733,2,13,Yes
470,Female,28,46644,1,15,Yes
471,Male,39,72486,2,2,Yes
472,Female,43,64647,5,2,Yes
473,Male,47,74918,5,18,No
474,Female,28,81981,3,10,No
475,Male,28,88050,1,16,Yes
476,Male,34,84973,2,18,Yes
477,Female,34,55556,5,12,No
478,Female,33,58607,4,15,No
479,Female,46,80032,3,7,No
480,Female,35,27996,5,8,Yes
481,Male,22,42090,5,19,Yes
482,Female,31,34988,2,11,Yes
483,Female,40,79615,2,16,No
484,Female,30,75027,4,16,No
485,Male,45,77099,3,6,No
486,Female,27,85089,5,2,No
487,Male,48,80489,1,2,Yes
488,Female,26,80217,2,3,No
489,Male,22,39334,5,15,No
490,Male,41,66794,5,16,Yes
491,Female,22,25433,5,18,No
492,Male,22,59695,3,18,No
493,Male,38,78291,4,6,No
494,Male,38,34758,2,7,No
495,Female,48,48228,3,13,No
496,Female,34,55080,5,8,Yes
497,Male,31,69829,1,2,Yes
498,Female,34,49718,5,16,No
499,Male,44,36231,1,16,Yes
500,Female,40,89050,1,17,Yes
